1	2	kisterem	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	
2	4	kisterem	0	0	1	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	
3	4	kisterem	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	6	kisterem	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	4	nagyterem	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	4	nagyterem	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	
7	2	nagyterem	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	4	nagyterem	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	6	nagyterem	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10	8	nagyterem	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	
